Wall time,Step,Value
1739965717.967714,0,7.0
1739965718.009526,1,7.0
1739965718.1190035,2,15.0
1739965718.1923869,3,9.0
1739965718.2415986,4,8.0
1739965718.2904983,5,7.0
1739965718.3716676,6,12.0
1739965718.4205453,7,8.0
1739965718.5035017,8,13.0
1739965718.5617251,9,10.0
1739965718.609916,10,8.0
1739965718.6561742,11,8.0
1739965718.7032487,12,8.0
1739965718.7888858,13,12.0
1739965718.8335307,14,7.0
1739965718.892419,15,10.0
1739965718.9601495,16,11.0
1739965719.0073428,17,8.0
1739965719.0528898,18,8.0
1739965719.120896,19,11.0
1739965719.1438653,20,4.0
1739965719.2221396,21,12.0
1739965719.2841086,22,9.0
1739965719.337976,23,8.0
1739965719.438863,24,15.0
1739965719.5024018,25,8.0
1739965719.5685961,26,8.0
1739965719.6501262,27,10.0
1739965719.7400367,28,13.0
1739965719.788791,29,7.0
