Wall time,Step,Value
1744188592.749032,0,14.0
1744188592.8082128,1,8.0
1744188592.8472579,2,6.0
1744188592.8816435,3,5.0
1744188592.9299183,4,7.0
1744188592.9604878,5,5.0
1744188593.014371,6,10.0
1744188593.0766191,7,11.0
1744188593.1171472,8,8.0
1744188593.1521814,9,7.0
1744188593.2071097,10,10.0
1744188593.2683332,11,11.0
1744188593.3005376,12,6.0
1744188593.3428285,13,8.0
1744188593.3744452,14,6.0
1744188593.417709,15,8.0
1744188593.454387,16,7.0
1744188593.4917397,17,7.0
1744188593.540729,18,9.0
1744188593.5835862,19,8.0
1744188593.6099658,20,5.0
1744188593.6423259,21,6.0
1744188593.6867216,22,8.0
1744188593.718196,23,6.0
1744188593.7803726,24,11.0
1744188593.844921,25,11.0
1744188593.8901064,26,8.0
1744188593.9627445,27,12.0
1744188594.017542,28,10.0
1744188594.0600219,29,8.0
