Wall time,Step,Value
1762089491.1821642,0,0.03843775764107704
1762089530.4657826,1,0.008699595928192139
1762089569.4317713,2,0.007545676082372665
1762089608.0812724,3,0.00938695389777422
1762089645.0994601,4,0.010215670801699162
1762089681.0882647,5,0.011499166488647461
1762089720.3949287,6,0.01581461727619171
1762089757.7668264,7,0.014835493639111519
1762089795.1886487,8,0.01903267204761505
1762089832.2479384,9,0.004307571332901716
1762089869.126842,10,0.017156310379505157
1762089907.2944245,11,0.017295533791184425
1762089943.1657536,12,0.017424695193767548
1762089980.837493,13,0.014981084503233433
1762090016.7833085,14,0.016994493082165718
1762090052.6916113,15,0.012761401943862438
1762090089.725837,16,0.013389908708631992
1762090127.689224,17,0.017398307099938393
1762090165.169923,18,0.008051889948546886
1762090201.2997751,19,0.012747791595757008
1762090238.3136463,20,0.005967140197753906
1762090276.5692916,21,0.017424695193767548
1762090313.2332327,22,0.013639827258884907
1762090348.8036673,23,0.004064721055328846
1762090386.5904365,24,0.020280279219150543
1762090422.42431,25,0.01819978654384613
1762090458.9708736,26,0.00932978093624115
1762090503.267742,27,0.020093057304620743
1762090539.6228957,28,0.012298988178372383
1762090575.6525137,29,0.012899279594421387
