Wall time,Step,Value
1760797482.0769773,0,0.036757588386535645
1760797613.7234566,1,0.03491152822971344
1760797871.2643788,2,0.03767618536949158
1760798131.812383,3,0.03437747806310654
1760798273.5923786,4,0.06715379655361176
1760798396.257367,5,0.042206499725580215
1760798506.1770887,6,0.08170156925916672
1760798642.4664195,7,0.03240593522787094
1760798789.0541775,8,0.04895180091261864
1760799028.2070968,9,0.05090823397040367
1760799132.6277392,10,0.05628387629985809
1760799254.3873549,11,0.05059897527098656
1760799453.0240333,12,0.038057658821344376
1760799703.7126687,13,0.047005195170640945
1760799926.3102088,14,0.03692667558789253
1760800030.455802,15,0.042344532907009125
1760800272.1608949,16,0.05375095456838608
1760800443.2279005,17,0.043106935918331146
1760800675.7947931,18,0.05343587324023247
1760800897.835294,19,0.040304552763700485
1760801146.0585225,20,0.02379070594906807
1760801341.0400093,21,0.038057658821344376
1760801483.423109,22,0.031962476670742035
1760801653.5353503,23,0.03020763210952282
1760801819.9371822,24,0.052881449460983276
1760801939.500975,25,0.0556304007768631
1760802222.9547381,26,0.08374571800231934
1760802474.293152,27,0.03959054499864578
1760802672.6952388,28,0.05041385069489479
1760802824.1012948,29,0.06152570992708206
